Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Duration (sec),Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Sequence),Level (Unit),Level (Module),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Selection,Action,Action,Input,Input,Feedback Text,Feedback Classification,Help Level,Total Num Hints,Condition Name,Condition Type,KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),School,Class,CF (Original Problem Name),CF (oli:activityGuid),CF (oli:highStakes),CF (oli:purpose),CF (oli:resourceType),CF (step_id),CF (tool_event_time),CF (tutor_event_time)
157,All Data,712d1e1bb68d3dd6e870d663905fae69,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82569,America/Los_Angeles,53,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,submit_btn1 ButtonPressed,1,1,CORRECT,ans_table_c1,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,p -> (q->r),,Good move,,,,none,none,Single-KC,,KC321,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 19:49:24.469 UTC,2018-07-22 19:49:24.512 UTC
158,All Data,0946e1d9b25145cf2c1f7117ee52874e,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82569,America/Los_Angeles,53,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,group2,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:49:24.508 UTC,
159,All Data,62530e74efdd523c92ad83c3d3ac5a4b,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82569,America/Los_Angeles,53,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,ans_table_c1,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:49:24.506 UTC,
160,All Data,22865fb769344154a02e3552a8d2894a,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82569,America/Los_Angeles,4.667,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,submit_btn2 ButtonPressed,1,1,CORRECT,ans_table_c2,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,p-> (q->r),,Good move,,,,none,none,Single-KC,,KC47,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 19:49:38.541 UTC,2018-07-22 19:49:38.566 UTC
161,All Data,2e1f42c800df63a43862351b1cef369f,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82569,America/Los_Angeles,4.667,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,ans_table_c2,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:49:38.562 UTC,
162,All Data,cc500b7c0d9db2ee7d22133ae4fcd5f3,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82569,America/Los_Angeles,4.667,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,group3,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:49:38.563 UTC,
163,All Data,1e7f0e5b8739ec7fbf8837306cc82a73,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82639,America/Los_Angeles,40,HINT_REQUEST,,HINT_MSG,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,undefined undefined,1,1,HINT,ans_table_c3,hint,,,,,,,,,,,,,,,,,,,,,,,ButtonPressed,PreviousFocus,hint request,,Replace inadmissible operators by equivalent formulae.,,1,2,none,none,Single-KC,,KC49,,Carnegie Mellon University,csdmpf18,,,,,,"[,]",2018-07-22 19:50:18.723 UTC,2018-07-22 19:50:18.740 UTC
164,All Data,dffb8b14420ae895c799cc5cfa0b5e3c,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82639,America/Los_Angeles,8.333,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,submit_btn3 ButtonPressed,1,1,CORRECT,ans_table_c3,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,p->(~r->~q),,Good move,,,,none,none,Single-KC,,KC85,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 19:50:43.306 UTC,2018-07-22 19:50:43.333 UTC
165,All Data,9a300ee97c60afdae61d59bed1503dcd,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82639,America/Los_Angeles,8.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,ans_table_c3,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:50:43.328 UTC,
166,All Data,49193dfa4ffe3239ce269aba415ebde4,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82639,America/Los_Angeles,8.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,group4,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:50:43.330 UTC,
167,All Data,5c15ec5854b72b172b063de503299dc6,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82639,America/Los_Angeles,3,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,done ButtonPressed,1,0,INCORRECT,done,,,,,,,,,,,,,,,,,,,,,,,,ButtonPressed,,-1,,"I'm sorry, but you are not done yet. Please continue working.",,,,none,none,Single-KC,,KC255,,Carnegie Mellon University,csdmpf18,,,,,,"[,]",2018-07-22 19:50:46.810 UTC,2018-07-22 19:50:46.822 UTC
168,All Data,877b88e9841e45eaf1dc1611a4163df1,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82917,America/Los_Angeles,75,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,submit_btn4 ButtonPressed,1,1,CORRECT,ans_table_c4,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,p->(~q|r),,Good move,,,,none,none,Single-KC,,KC23,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 19:54:31.120 UTC,2018-07-22 19:54:31.149 UTC
169,All Data,5bf27b951fc74c29aca297e5e4e017a4,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82917,America/Los_Angeles,75,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,ans_table_c4,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:54:31.145 UTC,
170,All Data,3eb41dd3ec87a08559ff42a1122f5f8a,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82917,America/Los_Angeles,75,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,group5,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:54:31.146 UTC,
171,All Data,653ecf6eea680de1a027a1575abab6e4,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82986,America/Los_Angeles,12.333,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,submit_btn5 ButtonPressed,1,1,CORRECT,ans_table_c5,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,~p|(~q|r),,Good move,,,,none,none,Single-KC,,KC129,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 19:55:08.623 UTC,2018-07-22 19:55:08.649 UTC
172,All Data,f779d06b26a77428791fd6c1bc421016,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82986,America/Los_Angeles,12.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,ans_table_c5,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:55:08.645 UTC,
173,All Data,964f2da1e8b1d13f124cea47dea36a73,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82986,America/Los_Angeles,12.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,,,,,group6,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:55:08.646 UTC,
174,All Data,cc7e7a4b57df1caf70604ff0b2c5b24a,stu1,c3557c910a0001dc61a5a40afdccce90,43303.82986,America/Los_Angeles,3,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P1,1,43303.82361,done ButtonPressed,2,1,CORRECT,done,,,,,,,,,,,,,,,,,,,,,,,,ButtonPressed,,-1,,,,,,none,none,Single-KC,,KC255,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 19:55:11.2 UTC,2018-07-22 19:55:11.12 UTC
175,All Data,59e8df5d71f4a09ba88e9482c5470e9a,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83056,America/Los_Angeles,83,HINT_REQUEST,,HINT_MSG,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,undefined undefined,1,0,HINT,hint,,,,,,,,,,,,,,,,,,,,,,,,ButtonPressed,,hint request,,Replace inadmissible operators by equivalent formulae.,,1,2,none,none,Single-KC,,KC296,,Carnegie Mellon University,csdmpf18,,,,,,"[,]",2018-07-22 19:56:34.231 UTC,2018-07-22 19:56:34.248 UTC
176,All Data,66460687da2511ee924c04fbe700219b,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83194,America/Los_Angeles,107,HINT_REQUEST,,HINT_MSG,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,undefined undefined,2,1,HINT,nextButton,,,,,,,,,,,,,,,,,,,,,,,,ButtonPressed,,hint request,,"The inadmissible symbol is highlighted and bolded: <br></br>p  <b style=""background-color: #FFFF00"">-></b>  q -> r<br style = ""margin: 0"">Use a different operator; see legend for reference.",,2,2,none,none,Single-KC,,KC296,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 19:58:21.540 UTC,2018-07-22 19:58:21.543 UTC
177,All Data,688d8a6226b465adb3af42a664224423,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83681,America/Los_Angeles,144.333,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,submit_btn1 ButtonPressed,1,1,CORRECT,ans_table_c1,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,p->~(q&~r),,Good move,,,,none,none,Single-KC,,KC325,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 20:05:34.347 UTC,2018-07-22 20:05:34.378 UTC
178,All Data,fe65964f4c546401c7eff99d9f8810ff,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83681,America/Los_Angeles,144.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,,,,,ans_table_c1,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:05:34.373 UTC,
179,All Data,3e8481750d486c1f00e46af22951347d,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83681,America/Los_Angeles,144.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,,,,,group2,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:05:34.375 UTC,
180,All Data,8a75fe07bea393b201d2c20ac82114da,stu1,c3557c910a0001dc61a5a40afdccce90,43303.8375,America/Los_Angeles,10,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,submit_btn2 ButtonPressed,1,1,CORRECT,ans_table_c2,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,~(p & (q&~r)),,Good move,,,,none,none,Single-KC,,KC342,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 20:06:04.203 UTC,2018-07-22 20:06:04.236 UTC
181,All Data,da283d3c7df5de076b328346ec6a75fd,stu1,c3557c910a0001dc61a5a40afdccce90,43303.8375,America/Los_Angeles,10,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,,,,,ans_table_c2,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:06:04.229 UTC,
182,All Data,170a08e2d6f3ffc6ca9a114d93bebec1,stu1,c3557c910a0001dc61a5a40afdccce90,43303.8375,America/Los_Angeles,10,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,,,,,group3,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:06:04.231 UTC,
183,All Data,d1430fecaab02cb43c6591a7e9f5776d,stu1,c3557c910a0001dc61a5a40afdccce90,43303.8375,America/Los_Angeles,1,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P2,1,43303.82361,done ButtonPressed,1,1,CORRECT,done,,,,,,,,,,,,,,,,,,,,,,,,ButtonPressed,,-1,,,,,,none,none,Single-KC,,KC34,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 20:06:05.708 UTC,2018-07-22 20:06:05.718 UTC
184,All Data,dddf06d32435bda7388459894e11b1d2,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83819,America/Los_Angeles,26,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P3,1,43303.82361,submit_btn1 ButtonPressed,1,1,CORRECT,ans_table_c1,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,~(p&~q)->r,,Good move,,,,none,none,Single-KC,,KC259,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 20:07:23.533 UTC,2018-07-22 20:07:23.563 UTC
185,All Data,23dfffe1d268a861acdec004be8a9829,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83819,America/Los_Angeles,26,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P3,1,43303.82361,,,,,group2,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:07:23.561 UTC,
186,All Data,5847c467c2c04c5655fc6aa733ccda9b,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83819,America/Los_Angeles,26,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P3,1,43303.82361,,,,,ans_table_c1,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:07:23.560 UTC,
187,All Data,6cb4f78e5238188ff9c0bfe36bcf56ad,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83819,America/Los_Angeles,7.333,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P3,1,43303.82361,submit_btn2 ButtonPressed,1,1,CORRECT,ans_table_c2,,,,,,,,,,,,,,,,,,,,,,,,UpdateTextField,,~(~(p&~q)&~r),,Good move,,,,none,none,Single-KC,,KC228,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 20:07:45.212 UTC,2018-07-22 20:07:45.240 UTC
188,All Data,9f1e62d52da727059330aa429f323411,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83819,America/Los_Angeles,7.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P3,1,43303.82361,,,,,ans_table_c2,,,,,,,,,,,,,,,,,,,,,,,,lock,,,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:07:45.234 UTC,
189,All Data,93707bda86be823f5b519ceedeecb934,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83819,America/Los_Angeles,7.333,ATTEMPT,tutor-performed,,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P3,1,43303.82361,,,,,group3,,,,,,,,,,,,,,,,,,,,,,,,setVisible,,TRUE,,,,,,none,none,,,,,Carnegie Mellon University,csdmpf18,,,,,,,2018-07-22 20:07:45.236 UTC,
190,All Data,048f09fd10cb5bc25bd5a96a0f7bcd21,stu1,c3557c910a0001dc61a5a40afdccce90,43303.83819,America/Los_Angeles,1,ATTEMPT,,RESULT,,Computational Discrete Math,Computational Discrete Math,>Logic,M2E_P3,1,43303.82361,done ButtonPressed,1,1,CORRECT,done,,,,,,,,,,,,,,,,,,,,,,,,ButtonPressed,,-1,,,,,,none,none,Single-KC,,KC317,,Carnegie Mellon University,csdmpf18,,,,,,-1,2018-07-22 20:07:46.578 UTC,2018-07-22 20:07:46.589 UTC